id;role_id;menu_id;delete_flag;createtime
1;1;10;0;2016/5/7 17:50:01
2;1;11;0;2016/5/7 17:50:09
3;1;12;0;2016/5/7 17:50:16
4;1;13;0;2016/5/7 17:50:24
5;1;20;0;2016/5/7 17:52:38
6;1;21;0;2016/5/7 17:52:43
7;1;22;0;2016/5/7 17:52:48
8;1;23;0;2016/5/7 17:52:53
9;1;24;0;2016/5/7 17:53:00
10;1;25;0;2016/5/7 17:53:05
11;1;30;0;2016/5/7 17:53:24
12;1;31;0;2016/5/7 17:53:33
13;1;32;0;2016/5/7 17:53:38
14;1;40;0;2016/5/7 17:53:45
15;1;41;0;2016/5/7 17:53:55
16;1;42;0;2016/5/7 17:54:06
17;1;43;0;2016/5/7 17:54:17
18;1;50;0;2016/5/7 17:54:23
19;1;51;0;2016/5/7 17:54:29
